leaderUserId,leaderMark,profilePhoto,nickName,yesterdayMaxFollowersNum,leaderParentUserId,referralCode,leaderLevel,followerYieldE8,countryCode,lastLeaderLevel,leaderLevelChangeTimeE3,userTag,metricValues,opStatus,currentFollowerCount,maxFollowerCount,linkCreateType,thirdPartyApplicationInfo,wsotRanking
26194204,qTJ2u5E4vW3pGNkdJ/HT0A==,https://s1.bycsi.com/fop/copytrade/203c65f0-b582-4def-96a8-37d6b6b0d956.jpg,Kate,0,25971457,Y90ZLZ,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,TW,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433308707,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
38007611,dPU6dGT6rHorGd0W2J5FCQ==,https://s1.bycsi.com/fop/copytrade/722cb9bd-4512-4784-a4cf-a614c7074782.jpeg,PaulOla,2,14884784,7LVGZB,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,NG,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433309500,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '2']",0,2,100,0,[],0
39059727,g88wzg+Xkx16pbJPzms9aA==,https://s1.bycsi.com/fop/copytrade/a3438a2e-d190-4966-b333-b521aa75831f.jpeg,EarnTogether,0,2255226,PW90Z,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,IN,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433310096,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
39927004,+e3rcsnT5uu88yXqzm5RAQ==,https://s1.bycsi.com/fop/copytrade/d5bcee9c-60ea-4da5-a852-61a88e6411fb.jpg,Lukas,0,38897545,JAGJ1Y,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,VN,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433310667,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
41200462,w+8WO5/zKgAf+2qkMGcGtw==,https://s1.bycsi.com/fop/copytrade/a9bd8129-7411-4f10-a51c-47e7c2243691.jpg,スッパ川口くん@安心安全目指して,0,22407900,GP15MG,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,JP,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433311752,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
41874067,lyCq2MfnZT19E/Zk4mBp4Q==,https://s1.bycsi.com/fop/copytrade/b5ac2661-d1b9-4de1-99cb-384fd2f1c758.png,Big Coin,0,41716685,8B3VGL,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,VN,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433312420,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
42650879,H0dBNKYUpHKfYMXmaSR+MQ==,https://s1.bycsi.com/fop/copytrade/be8121e6-9a7c-457d-804b-237aed7d4940.jpg,TriuMf FinConsultihg,0,29438631,X5ZBG8,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433312969,"[{'title': 'Veteran', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '140844', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '15'}]","['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
43665567,zD4t+8OPY3MzSD0ObSQg9A==,https://s1.bycsi.com/fop/copytrade/df48b221-d4a8-451f-8f66-7c078eed91f9.jpg,BomBom,0,42873310,V97RR5,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,VN,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433313600,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
44652198,6vl9YfMYvrcY9QUzx1T77A==,https://s1.bycsi.com/bybit/deadpool/2a5bed8201c411ed8fbbba6ce010d65b.svg,Wei,0,20921633,Z8EKXQ,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,TW,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,0,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
45778702,j6IVzCA3QfFKXxEG2WGzhA==,https://s1.bycsi.com/fop/copytrade/e6a1311a-2042-4b4d-a09a-dcc8e508e53e.jpg,狼牙月,2,26779961,D8QZDA,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,HK,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1669191230628,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '2']",0,2,100,0,[],0
36552056,c2PAnszWQgcShXKG7pUd3A==,https://s1.bycsi.com/fop/copytrade/9e649bb6-667b-435a-9531-c5be076af020.jpg,RichPAPA,1,461644,GPKVR,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,TW,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433303544,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '1']",0,1,100,0,[],0
36574450,5FQ0Mxolr7RBgYDs2d6KoA==,https://s1.bycsi.com/fop/copytrade/3c8352a3-20a3-470b-9d1e-e638e3566e0f.jpg,聚沙成塔,1,1381512,XZV0Q,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433304577,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '1']",0,1,100,0,[],0
35229261,xWhKbbTZ1njf155zOdsjog==,https://s1.bycsi.com/fop/copytrade/7b489d30-e5e0-485c-aa13-eb0bc3d6cd93.png,Shima Lin,0,16937263,GVOPN3,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433305400,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
30736368,ZGF0GRsdL0MdiejX04EXUA==,https://s1.bycsi.com/bybit/deadpool/2a5bed8201c411ed8fbbba6ce010d65b.svg,Pro trader,0,29431667,M1LXNA,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,VN,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433307020,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
25913512,wh7WCCGFUaIHfGFKay8M+w==,https://s1.bycsi.com/bybit/deadpool/2a5bed8201c411ed8fbbba6ce010d65b.svg,ZAZ,0,3464717,BDZNDK,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,KR,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433307839,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
